id,id_race,id_horse,horse_name,jockey,trainer,age,weight,number,last_ran_days_ago,non_runner,form,position,distance_beaten,owner,sire,dam,official_rating,starting_price,price
20,236935,247705,Lifetime Legend(IRE),Jack Quinlan,Neil King,5,Dec-00,3,2,1,P3415P-63,,,Mr J. P. Ledwidge,PRIDE OF DUBAI(AUS),LIVIA GALILEI(IRE),100,,£4489
21,236935,243083,Southfield Lily,Miss Lily Bradstock,Mark Bradstock,7,10-2 (9-13),6,50,1,R/6,,,Mrs Angela Yeoman,YEATS(IRE),CHAMOSS ROYALE(FR),74,,£4489
22,236936,251075,Malina Jamila,Jack Quinlan,Neil King,7,Dec-00,1,176,0,54/1204P-7,,,"Maundrell,  Sawyer &amp; Andrews",MALINAS(GER),HAVEYOUBEEN(IRE),100,,£4225
23,236936,269574,Courtney Silver(IRE),Jay Tidball,Anthony Carson,5,12-Nov,2,25,0,669P-14,,,,,,98,,£4225
24,236936,269140,Our Nel(IRE),Ben Bromley,Harry Fry,5,12-Nov,3,32,0,40-323,,,Mr A. R. Bromley,MOUNT NELSON,HOPEFUL GLEAM(IRE),98,,£4225
25,236936,271009,Minnie Beets(IRE),David Noonan,Henry Oliver,5,5-Nov,4,31,0,088-00,,,Havin-A-Mare Syndicate,CLOUDINGS(IRE),REALLY ROYALE(FR),91,,£4225
26,236936,232593,Crem Fresh,Tom Bellamy,Barry Brennan,9,5-Nov,5,222,0,22/25-,,,Mr David Gibbons,MALINAS(GER),CLOTTED CREAM(USA),91,,£4225
27,236936,268960,Sinurita(IRE),Richie Mclernon,Neil Mulholland,7,2-Nov,6,52,0,6P-3052P,,,,,,88,,£4225
28,236936,241429,Sawpit Sienna,Robert Dunne,Samuel Drinkwater,8,Nov-00,7,20,0,141524P-8,,,Mr David A. Hunt,DYLAN THOMAS(IRE),SAWPIT SUPREME,86,,£4225
29,236936,259966,Luna Dora,Ben Poste,Tom Symonds,6,10-Oct,8,24,0,72217-552,,,Chase The Dream - Luna Dora,PETHERS MOON(IRE),IXORA(IRE),82,,£4225
30,236936,268983,Harkangel,Stan Sheppard,Tom Gretton,5,8-Oct,9,266,0,346-,,,F J Allen &amp; Partners,BLACK SAM BELLAMY(IRE),SUPREME GEM(IRE),80,,£4225
31,236936,253618,Trickalight(IRE),Chris Ward,Deborah Cole,7,10-2 (10-0),10,59,0,3/8PP-8565,,,John H. Murphy,LEADING LIGHT(IRE),HORNER MILL(IRE),74,,£4225
32,236936,242842,Div Ine Tara,Bradley Roberts,Clare Hobson,8,10-2 (9-12),11,59,0,40/3747-7P,,,Mrs K Exall &amp; Mr G Molen,KAYF TARA,MID DIV AND CREEP,74,,£4225
33,236936,255833,Ceci Wells,Ellis Collier,Paul Webber,6,10-2 (9-10),12,49,0,644-P07,,,Mrs &amp; Exors the Late Mr Philip C. Smith,ORIENTOR,THEATRICAL DANCER,74,,£4225
34,236937,233986,Llandinabo Lad,David Noonan,Tom Symonds,8,Dec-00,1,17,0,4P/42254-4,,,Celia &amp; Michael Baker,MALINAS(GER),HOT RHYTHM,120,,£7922
35,236937,262249,Gitche Gumee,Tom Cannon,Alan King,5,11-Nov,2,194,0,1/1432F3-,,,,,,117,,£7922
36,236937,259115,Magistrato(FR),Chris Ward,Deborah Cole,5,2-Nov,3,22,0,P2142652,,,Mrs Johnny de la Hey,KAPGARDE(FR),FRANCHE ALLIANCE(FR),108,,£7922
37,236937,253264,En Avant(FR),Sean Bowen,Olly Murphy,7,Nov-00,4,33,0,5954-U118,,,Nicholas Teehan,MARESCA SORRENTO(FR),BELLA ERIA(FR),106,,£7922
38,236937,269036,Aviles(FR),Jamie Moore,Gary Moore,4,4-Oct,5,192,0,4/2222-,,,Mr Paul Hunt,SAINT DES SAINTS(FR),AVA(GER),104,,£7922
39,236938,252630,American Gerry(IRE),David Bass,Hughie Morrison,7,Dec-00,1,157,0,51/6464-U4,,,Mrs Margaret Geake,AMERICAIN(USA),HURRICANE SOCIETY(IRE),110,,£6601
40,236938,260718,Polyphonic(IRE),Sean Bowen,James Owen,4,Dec-00,2,29,0,154522-P3,,,John and Jess Dance,SEA THE STARS(IRE),AIM TO PLEASE(FR),110,,£6601
41,236938,262001,Sergeant Wilson(IRE),Daryl Jacob,Nigel Twiston-davies,5,Dec-00,3,29,0,U32012P-5,,,,,,110,,£6601
42,236938,260109,Pretending(IRE),Bryony Frost,Lucy Wadham,4,7-Nov,4,195,0,32282-,,,Denford Stud,MAKE BELIEVE,GALA,103,,£6601
43,236938,262336,Jubilee Gold(IRE),Charlie Hammond,Dr Richard Newland,7,5-Nov,5,528,0,3/1-,,,Mr A. G. Lawless,LIBERTARIAN,SIMPLYONELADY(IRE),101,,£6601
44,236938,246345,State Of Bliss(IRE),Jack Quinlan,Neil King,5,4-Nov,6,71,0,5-32156,,,Barbara &amp; Alick Richmond,GLENEAGLES(IRE),CRYSTAL VALKYRIE(IRE),100,,£6601
45,236938,254997,Sanitiser,Jamie Moore,Gary Moore,4,12-Oct,7,17,0,3543-,,,Ben &amp; Sir Martyn Arbib,THE GURKHA(IRE),SPICY DAL,94,,£6601
46,236938,248264,Trusty Scout(IRE),Jamie Hamilton,Derek Shaw,5,10-Oct,8,27,0,445/,,,G. A. Taylor,GLENEAGLES(IRE),DUTCH LILLY,92,,£6601
47,236938,220921,Seaborough(IRE),James Davies,Derek Shaw,8,8-Oct,9,25,0,3331635-7,,,Mr J. Souster &amp; Mr A. Livingston,BORN TO SEA(IRE),NOBILISSIMA(IRE),90,,£6601
48,236939,277548,Timeless Charm(IRE),Billy Loughnane,George Boughey,2,2-Sep,7,,0,,1,,,,,,7,£3672
49,236939,277550,Always Waving(GER),Oisin Murphy,Andrew Balding,2,12-Aug,10,,0,,2,6,,,,,4.33,£3672
50,236939,277544,Crystal Flyer,Sean Levey,Tom Ward,2,2-Sep,2,,0,,3,1 1/2,,,,,34,£3672
51,236939,275660,Nothing To Fear(IRE),George Wood,Harry Eustace,2,2-Sep,5,56,0,93,4,2-Jan,Next Wave Racing and Partner,CHURCHILL(IRE),WITHORWITHOUTYOU(IRE),,5.5,£3672
52,236939,277551,Darysina Gold,Charles Bishop,Eve Johnson Houghton,2,12-Aug,11,,0,,5,1 1/4,,,,,6,£3672
53,236939,277552,Pratigya,Richard Kingscote,Harry &amp; Roger Charlton,2,12-Aug,13,,0,,6,1 1/2,,,,,5,£3672
54,236939,277543,Beset,Trevor Whelan,Henry Candy,2,2-Sep,1,,0,,7,1,Major M. G. Wyatt,EXPERT EYE,BESHAYER(FR),,34,£3672
55,236939,276927,Pegasus Of Harry,Stefano Cherchi,Marco Botti,2,12-Aug,12,21,0,0,7,0,,,,,41,£3672
56,236939,277545,Forest Spirit(IRE),Kevin Stott,Michael Bell,2,2-Sep,3,,0,,9,5 1/2,Mrs G. Rowland Clark &amp; Mr J. OConnor,WALDGEIST,HELISA(FR),,11,£3672
57,236939,276928,Starlight Fantasy,Adam Farragher,Marco Botti,2,12-Aug,14,21,0,7,10,2-Jan,,,,,23,£3672
58,236939,277549,Perla Marina(IRE),Neil Callan,George Baker,2,Sep-00,9,,0,,11,1,,,,,29,£3672
59,236939,277546,Marmalade Lady,David Probert,Hughie Morrison,2,2-Sep,4,,0,,12,22,,,,,23,£3672
60,236939,277547,Polly Sherman(FR),Rob Hornby,Ralph Beckett,2,2-Sep,6,,1,,,,,,,,,£3672
61,236939,276154,No Mischief,Non Runner,Jonathan Portman,2,Sep-00,8,35,1,38,,,Mrs R. Pease,LE BRIVIDO(FR),SAMANTHA,,,£3672
62,236940,274421,Miami Heat,David Probert,Dominic Ffrench Davis,2,6-Sep,5,85,0,575,1,,,,,72,5.5,£4187
63,236940,275630,High Handed(IRE),Oisin Murphy,Brian ORourke,2,6-Sep,4,27,0,403,2,2-Jan,Mr B. E. Nielsen,SIYOUNI(FR),HOITY TOITY,72,15,£4187
64,236940,274049,Xaarine(FR),Kevin Stott,David Menuisier,2,4-Sep,6,88,0,5320,3,1 1/4,Guy Pariente Holding SPRL,GOKEN(FR),XAARINA(FR),70,15,£4187
65,236940,275294,Stratocracy(IRE),Sean Levey,Richard Hannon,2,9-Sep,2,46,0,749,4,4-Mar,,,,75,4,£4187
66,236940,274936,Zinchenko,Rob Hornby,Jonathan Portman,2,2-Sep,11,23,0,847,5,sh,,,,68,13,£4187
67,236940,272298,Pretence(IRE),Richard Kingscote,Hugo Palmer,2,3-Sep,7,20,0,9001254,6,nk,,,,69,8.5,£4187
68,236940,274585,Loaded Quiver,Joshua Bryan,Archie Watson,2,8-Sep,3,64,0,2216,7,1 1/4,,,,74,4.5,£4187
69,236940,271405,Valadero(IRE),Liam Wright,Darryll Holland,2,9-Sep,1,42,0,22439,8,1 1/2,,,,75,19,£4187
70,236940,273187,Doubletalk(IRE),Oliver Stammers,Charlie Johnston,2,3-Sep,9,55,0,56728127,9,2 1/4,Sheikh Hamdan Bin Mohammed Al Maktoum,NIGHT OF THUNDER(IRE),DUTOTA DESEJADA(BRZ),69,15,£4187
71,236940,275895,Dark Viper,Alec Voikhansky,Richard Hannon,2,2-Sep,10,25,0,488,10,2-Jan,,,,68,13,£4187
72,236940,273851,Arizona Desert(IRE),Non Runner,Dominic Ffrench Davis,2,3-Sep,8,2,1,336316,,,Amo Racing Limited,SIOUX NATION(USA),HYLAND HEATHER(IRE),69,,£4187
73,236941,275492,Get The Music On,John Fahy,Clive Cox,2,2-Sep,3,19,0,22,1,,,,,,5.5,£5346
74,236941,277556,State Flag,Trevor Whelan,Tom Ward,2,2-Sep,9,,0,,2,1 1/4,,,,,101,£5346
75,236941,275244,Imperial Express(IRE),Oisin Murphy,Andrew Balding,2,2-Sep,4,48,0,639,3,sh,,,,,4,£5346
76,236941,277554,Red Pixie,Richard Kingscote,Sir Michael Stoute,2,2-Sep,6,,0,,4,sh,Juddmonte,KINGMAN,DESERT DIAMOND,,13,£5346
77,236941,277007,Kathmandu(IRE),Billy Loughnane,Brian Meehan,2,2-Sep,5,,0,,5,nk,Sangster &amp; Babington,SHOWCASING,ALEGRA,,29,£5346
78,236941,277013,Wellborn,Cameron Noble,Roger Varian,2,2-Sep,10,16,0,3,6,1 1/4,,,,,3.75,£5346
79,236941,277553,Dubai Beach(IRE),David Probert,Saeed Bin Suroor,2,2-Sep,2,,0,,7,1 3/4,,,,,12,£5346
80,236941,276121,Spinto Soprano,Rob Hornby,Ralph Beckett,2,9-Sep,1,22,0,51,8,hd,Mrs Doreen Tabor,INVINCIBLE SPIRIT(IRE),PLAYFUL SOUND,,5.5,£5346
81,236941,277555,Sea Ice(IRE),Robert Havlin,John &amp; Thady Gosden,2,2-Sep,7,,0,,9,1 3/4,Lord Lloyd Webber,TOO DARN HOT,ARCTIC OCEAN(IRE),,12,£5346
82,236941,277170,Silvaplana(IRE),Sean Levey,Richard Hannon,2,2-Sep,8,13,0,4,10,1 1/4,,,,,51,£5346
83,236942,276669,Topanga,Oisin Murphy,Andrew Balding,2,2-Sep,9,16,0,2,1,,St Albans Bloodstock &amp; Fittocks Stud,SIYOUNI(FR),TIME TUNNEL,,1.4,£5346
84,236942,277561,Tiaraqueen,Adam Farragher,William Haggas,2,2-Sep,8,,0,,2,1 1/4,,,,,29,£5346
85,236942,277559,First Kiss(IRE),Richard Kingscote,John &amp; Thady Gosden,2,2-Sep,3,,0,,3,2 3/4,,,,,9,£5346
86,236942,277557,Dancing Free(IRE),Robert Havlin,John &amp; Thady Gosden,2,2-Sep,1,,0,,4,nk,Cornthrop BS &amp; Partners,TEN SOVEREIGNS(IRE),KAYABA,,6,£5346
87,236942,277558,Expected Arrival(IRE),Kevin Stott,Kevin Philippart de Foy,2,2-Sep,2,,0,,5,1,,,,,29,£5346
88,236942,277014,Zelma(IRE),Billy Loughnane,S. P. C. Woods,2,2-Sep,10,19,0,7,6,2,Brook Stud,EXCEED AND EXCEL(AUS),HAVANACLUE(IRE),,51,£5346
89,236942,277560,Queen Jean(IRE),Rob Hornby,Ralph Beckett,2,2-Sep,5,,0,,7,sh,Mr Andrew Rosen,KINGMAN,J WONDER(USA),,8.5,£5346
90,236942,272109,Pickled Pepper,Neil Callan,Dean Ivory,2,2-Sep,4,161,0,90,8,4 1/4,Michael &amp; Heather Yarrow,TOO DARN HOT,EIRENE,,126,£5346
91,236942,276667,Sapphira,David Probert,Ed Dunlop,2,2-Sep,6,16,0,8,9,5,,,,,101,£5346
92,236942,276562,Sweet Talkin Sue,Sean Levey,Hugo Palmer,2,2-Sep,7,20,0,87,10,3 1/2,,,,,101,£5346
93,236943,266394,Vultar(IRE),Richard Kingscote,Clive Cox,3,5-Sep,10,22,0,2-232,1,,Mr Adrian Butler,FREE EAGLE(IRE),EVENING FROST(IRE),82,5.5,£7731
94,236943,191868,Wild Side(IRE),Billy Loughnane,George Boughey,3,9-Sep,6,125,0,79-21119,2,1 1/4,Mr Saeed Manana,DARK ANGEL(IRE),MISS WINDLEY(IRE),86,23,£7731
95,236943,248700,Follow Your Heart(IRE),Trevor Whelan,Mark Loughnane,5,6-Sep,9,16,0,11700632,3,nk,Mr T. A. Rahman,ESTIDHKAAR(IRE),AL GHARRAFA,82,9.5,£7731
96,236943,263216,Zero Carbon(FR),Ethan Jones,Richard Hughes,4,9-Sep,5,25,0,65198125,4,4-Mar,Cognition Land and Water &amp; M Clarke,ACCLAMATION,CLOTILDE,85,7,£7731
97,236943,255000,Sterling Knight,David Probert,Ed Dunlop,4,12-Sep,2,41,0,46130075,5,nk,,,,88,29,£7731
98,236943,244652,Mitrosonfire,Stefano Cherchi,William Muir &amp; Chris Grassick,5,12-Sep,1,5,0,43045239,6,2-Jan,Mr John OMulloy,LETHAL FORCE(IRE),BLAUGRANA(IRE),88,5.5,£7731
99,236943,266216,Vermilion(IRE),Oisin Murphy,Andrew Balding,3,5-Sep,11,25,0,331-39,7,1 3/4,Highclere  - Sir Alexander Fleming,KODIAC,WESTERN SKY,82,11,£7731
100,236943,267381,Caragio(IRE),Robert Havlin,Roger Teal,3,11-Sep,3,16,0,214-05061,8,ns,Mrs Anne Cowley,CARAVAGGIO(USA),FREDDIES GIRL(USA),88,5,£7731
101,236943,239848,Al Rufaa(FR),Rob Hornby,Daniel &amp; Claire Kubler,6,8-Sep,7,143,0,8429-9788,9,nk,Al Shaqab Racing,KINGMAN,CLARMINA(IRE),84,6.5,£7731
102,236943,244845,Temple Bruer,Kevin Stott,Mike Murphy &amp; Michael Keady,5,3-Sep,13,13,0,15046704,10,2-Jan,Mrs Julia Scott,SHOWCASING,KENDAL MINT,79,29,£7731
103,236943,269815,Haziym(IRE),Alistair Rawlinson,Tony Carroll,4,11-Sep,4,91,0,24047-880,11,1 1/4,,,,87,101,£7731
104,236943,225743,Soar Above,Morgan Cole,John Butler,8,5-Sep,12,15,0,4-8333247,12,2 3/4,Mr J. Butler,LETHAL FORCE(IRE),SOAR,81,29,£7731
105,236943,227202,Hieronymus,Non Runner,George Baker,7,6-Sep,8,16,1,2/205-0026,,,"Mrs Pao, Mr Stafford &amp; Mr Tucker",DUTCH ART,SLEEK,82,,£7731
106,236943,267201,Red Maids,Adam Farragher,Mark Rimell,3,1-Sep,14,25,1,25841140,,,Godolphin,INVINCIBLE SPIRIT(IRE),DESERT BLOSSOM(IRE),78,,£7731
107,236944,262643,Willem Twee,Oisin Murphy,James Fanshawe,4,7-Sep,2,53,0,42111d72-0,1,,,,,93,3,£7731
108,236944,253914,Gisburn(IRE),Sean Levey,Richard Hannon,4,3-Sep,5,17,0,7360-4001,2,1 1/4,Michael Kerr-Dineen &amp; Martin Hughes,RIBCHESTER(IRE),DISCLOSE,89,9.5,£7731
109,236944,249824,Baldomero(IRE),Alistair Rawlinson,Michael Appleby,5,2-Sep,6,151,0,2d-8924230,3,2-Jan,Mrs C. C. Regalado-Gonzalez,SHALAA(IRE),BESOTTED(IRE),88,17,£7731
110,236944,265516,Buccabay(IRE),Charles Bishop,Eve Johnson Houghton,3,11-Aug,11,16,0,64054512,4,1 1/4,The Buckingham Partnership,SAXON WARRIOR(JPN),FIFTH COMMANDMENT(IRE),83,4.33,£7731
111,236944,257178,Watchya,Neil Callan,George Baker,4,3-Sep,4,88,0,402-05450,5,nk,,,,89,8.5,£7731
112,236944,259590,Justcallmepete,Dougie Costello,James Evans,4,6-Sep,3,27,0,43420125,6,sh,,,,92,8,£7731
113,236944,255529,Admiral D(IRE),Ryan Sexton,Richard Fahey,4,13-Aug,9,20,0,9-5700633,7,nk,Mr Michael OCallaghan,ARDAD(IRE),DERVAL(IRE),85,11,£7731
114,236944,258664,Leap Abroad(IRE),David Probert,Paul &amp; Oliver Cole,4,13-Aug,10,147,0,2211-4446,8,4 1/2,,,,85,23,£7731
115,236944,265052,Minnetonka(IRE),Richard Kingscote,Richard Hannon,3,1-Sep,7,18,0,60412220,9,1 1/2,,,,87,13,£7731
116,236944,264342,Spangled Mac(IRE),Billy Loughnane,George Boughey,4,10-Sep,1,53,1,2-7948010,,,Mr Adrian McAlpine,STARSPANGLEDBANNER(AUS),INTERMITTENT,96,,£7731
117,236944,262527,Rousing Encore(IRE),Oisin James Orr,Richard Fahey,3,Sep-00,8,18,1,24-057000,,,Mr Paul K. Spencer,ACCLAMATION,JOLIE CHANSON(FR),86,,£7731
118,236944,220558,Treacherous,Adam Farragher,Ed De Giles,9,4-Aug,12,17,1,62475924,,,Woodham Walter Partnership,PACO BOY(IRE),BLACK BARONESS,76,,£7731
133,236945,268372,Scintillante,David Probert,Andrew Balding,3,6-Sep,7,7,0,3-5214662,1,,Mr Philip Fox &amp; Partner,ROARING LION(USA),FREESIA(IRE),77,2.62,£6281
134,236945,245743,Chase The Dollar,John Fahy,David Loughnane,5,8-Sep,6,23,0,92-703254,2,hd,Mr Saeed Suhail,FRANKEL,CAPE DOLLAR(IRE),74,15,£6281
135,236945,267129,Sea Me Dance,Robert Havlin,S. P. C. Woods,3,12-Aug,11,21,0,45416465,3,nk,,,,69,15,£6281
136,236945,272314,Boldly(IRE),Billy Loughnane,George Boughey,3,3-Sep,10,15,0,3763,4,3,Mrs J Magnier M Tabor D Smith Westerberg,GALILEO(IRE),VANZARA(FR),74,8,£6281
137,236945,263348,Balhambar(FR),Oisin Murphy,Michael Bell,4,2-Oct,1,138,0,5310-34,5,1,,,,82,6,£6281
138,236945,258378,Typical Woman,Richard Kingscote,Ian Williams,4,6-Sep,8,16,0,3417242,6,2 1/2,,,,72,8,£6281
139,236945,267849,Bohemian Breeze(IRE),Oliver Stammers,Charlie Johnston,3,4-Sep,9,21,0,4-6740131,7,nk,Mrs Jane Newett,GALILEO(IRE),WIND CHIMES,75,6,£6281
140,236945,231076,Pour Me A Drink,Jimmy Quinn,Jim &amp; Suzi Best,7,11-Sep,3,1059,0,,8,5,Mr A. Coupland,NATHANIEL(IRE),EUROCELEB(IRE),77,201,£6281
141,236945,262822,Awesome Dancer(IRE),Neil Callan,George Baker,4,12-Sep,2,467,0,7581-,9,4-Mar,Carbine of London Racing (2),HIGHLAND REEL(IRE),ADUTCHGIRL(GER),78,17,£6281
142,236945,244462,Ravens Ark,Rob Hornby,Hughie Morrison,6,10-Sep,4,31,0,349-22764,10,2 3/4,Beachview Corporation Ltd,RAVENS PASS(USA),WONDERFUL DESERT,76,41,£6281
143,236945,234402,Dundory(IRE),Oisin James Orr,John OShea,7,9-Sep,5,31,0,12568252,11,2 3/4,Newtown Anner Stud Farm Ltd,HOLY ROMAN EMPEROR(IRE),LADY BONES(IRE),75,67,£6281
144,236946,242245,The Cola Kid,Kevin Stott,Grace Harris,6,3-Sep,10,23,0,32453743,1,,Patrick Moyles,LETHAL FORCE(IRE),GEORGES GIFT,54,9,£3140
145,236946,271999,Lauras Breeze(IRE),Oisin Murphy,Ed Dunlop,3,7-Sep,3,20,0,43947536,2,ns,Mr Paul Turner,RIBCHESTER(IRE),ETESIAN FLOW,59,4.33,£3140
146,236946,267216,Once Adaay,George Wood,Mrs Ilka Gansera-leveque,3,6-Sep,6,23,0,561-5576,3,1 1/2,"James Barnard, Denby and Partners",ADAAY(IRE),SONKO(IRE),58,9.5,£3140
147,236946,248814,Oriental Spirit,Rob Hornby,Stuart Kittow,5,4-Sep,7,16,0,69463947,4,4-Mar,The Oriental Spirit Partnership,SWISS SPIRIT,YAT DING YAU(FR),55,6,£3140
148,236946,273572,Bugle Beads,Neil Callan,John Butler,3,7-Sep,5,16,0,56566,5,4-Mar,,,,59,15,£3140
149,236946,266830,Lady Amanda(IRE),Alec Voikhansky,Richard Hannon,3,7-Sep,2,11,0,46410-78,6,nk,Mr R. A. Simmons,CAMACHO,LIDO LADY(IRE),59,34,£3140
150,236946,258794,Agapanther,Billy Loughnane,Heather Main,4,4-Sep,9,76,0,346-15565,7,hd,,,,55,3.75,£3140
151,236946,275365,Reve De Magritte(FR),David Probert,Ed De Giles,4,4-Sep,8,16,0,54463035,8,1 3/4,,,,55,13,£3140
152,236946,217840,Reverberation,Nicola Currie,J. S. Moore,8,10-Aug,12,115,0,3-2557204,9,1 3/4,Mr R. P. Behan,EXCELEBRATION(IRE),ECHO RIDGE(IRE),47,21,£3140
153,236946,262926,Lahina Bay(IRE),Charles Bishop,Rachel Cook &amp; John Bridger,3,9-Sep,1,23,0,31155310,10,1,,,,61,29,£3140
154,236946,271067,Haulfronhobbs,Adam Farragher,Chris Dwyer,3,8-8 (8-7),13,16,0,89362649,11,sh,,,,46,41,£3140
155,236946,256081,Sisters In The Sky,Dougie Costello,Grace Harris,4,7-Sep,4,7,0,86900,12,4,Mr David Gilmour &amp; Mr James Dellaway,SHOWCASING,SUNNY YORK(IRE),58,29,£3140
156,236946,248111,Purple Poppy,Non Runner,Jimmy Fox,5,12-Aug,11,21,1,0-3122843,,,Mrs Barbara Fuller,SWISS SPIRIT,STUNNING IN PURPLE(IRE),49,,£3140
157,236947,270985,Lynwood Lad,Richard Kingscote,Jonathan Portman,3,4-Sep,8,8,0,58676386,1,,,,,47,5,£3140
158,236947,209032,Peachey Carnehan,Robert Havlin,Michael Mullineaux,9,6-Sep,6,9,0,50257085,2,nk,,,,49,7,£3140
159,236947,267386,Milvus(IRE),Oisin Murphy,Denis Coakley,3,9-3 (9-2),11,23,0,745875,3,sh,Sparkling Partners,DARK ANGEL(IRE),REDMAVEN(IRE),46,4.5,£3140
160,236947,245815,Bama Lama,Morgan Cole,Rod Millman,5,4-Sep,7,16,0,31261876,4,hd,Canisbay Bloodstock,EQUIANO(FR),KINDIA(IRE),47,15,£3140
161,236947,211549,Magicinthemaking(USA),George Rooke,John E. Long,9,9-Sep,1,21,0,5-1676424,5,3 1/4,Mr Martin J. Gibbs &amp; Mr R. D. John,WILDCAT HEIR(USA),LOVE IN BLOOM(USA),52,5.5,£3140
162,236947,257099,You Are Everything(FR),Neil Callan,Tony Carroll,4,8-Sep,3,9,0,55607-634,6,2-Jan,Wedgewood Estates,BELARDO(IRE),SENSA(FR),51,11,£3140
163,236947,269218,Macho Mania(IRE),Jack Gilligan,Phil Mcentee,3,6-Sep,5,32,0,3579035,7,1 1/4,,,,49,23,£3140
164,236947,268364,Brazen Insanity,Nicola Currie,Lydia Richards,3,9-3 (9-2),12,53,0,0-8009,8,7 1/2,Mr Lee Anthony  Hill,BRAZEN BEAU(AUS),ARMAGEDDON,46,101,£3140
165,236947,270453,Kangaroo(IRE),Kevin Stott,Phil Mcentee,3,9-Sep,2,34,0,3557900,9,3 1/2,,,,52,11,£3140
166,236947,257706,Romantic Memories,Rob Hornby,Jonathan Portman,4,3-Sep,9,16,0,829597-07,10,1 1/2,Mr S. Emmet and Miss R. Emmet,TIME TEST,MIDNIGHT FLING,46,29,£3140
167,236947,256848,Clownsman,Charles Bishop,Joe Ponting,5,7-Sep,4,89,0,0350/3544,11,1 3/4,Mr G. S. Tuck,SWISS SPIRIT,SLEEPING SHADOW,50,8,£3140
168,236947,244932,Liberty Bay,Alicia Perkins,Mark Usher,5,9-3 (9-2),10,162,0,47056735,ur,,Rowdown Racing Partnership,IFFRAAJ,LIGHT FANTASTIC,46,51,£3140
